p,q,P,s(pq),s(qp),d(pq),d(qp)
U.S.A.,Mexico,91.1,6.46,7.65,11.78,10.58
U.S.S.R.,Poland,98.6,15.12,15.18,6.37,7.3
China,Albania,94.1,8.69,9.16,14.56,12.16
U.S.A.,Israel,95.6,9.7,10.65,13.78,12.53
Japan,Philippines,94.2,12.37,11.95,7.74,5.5
U.S.A.,Canada,97.1,16.96,17.33,4.4,3.82
U.S.S.R.,Israel,91.1,3.41,3.69,18.41,17.25
England,Ireland,97.1,13.32,13.49,7.5,5.04
Germany,Austria,87.0,15.6,15.2,6.95,6.67
U.S.S.R.,France,82.4,5.21,5.03,15.7,15.0
Belgium,Luxembourg,95.6,15.54,16.14,4.8,3.93
U.S.A.,U.S.S.R.,65.7,5.84,6.2,16.65,16.11
China,North Korea,95.6,13.13,14.22,8.2,7.48
India,Sri Lanka,97.1,13.91,13.88,5.51,7.32
U.S.A.,France,86.8,10.42,11.09,10.58,10.15
U.S.S.R.,Cuba,91.1,11.46,12.32,11.5,10.5
England,Jordan,98.5,4.97,6.52,15.81,14.95
France,Israel,86.8,7.48,7.34,12.2,11.88
U.S.A.,Germany,94.1,11.3,10.7,10.25,11.96
U.S.S.R.,Syria,98.5,6.61,8.51,12.92,11.6
France,Algeria,95.6,7.86,7.94,10.58,10.15
